勘定科目,解説
建物,事業活動のために所有し使用している建物本体とその付属設備を処理する勘定科目です。具体的には、事務所、店舗、工場、倉庫、社宅などの建物などがこれに該当します。5
建物附属設備,事業活動のために所有し使用している建物に付属している設備を処理する勘定科目です。具体的には、エレベーター、給排水設備、電気設備、冷暖房設備、照明設備など。5
機械装置,事業活動のために所有し使用している機械もしくは装置、ならびにこれらに付随する設備などを処理する勘定科目です。具体的には、製造・製作用機械、装置、コンベヤーなどの搬送設備、建設機械など。5 ------------------------------------------------------------------------------------------------------------------------------------------------------------
車両運搬具,事業活動のために所有し使用している自動車やその他陸上運搬車両を処理する勘定科目です。具体的には、営業用車両、オートバイ、トラック、バス、フォークリフトなど。5
工具器具備品,事務所や工場で物の製造、生産のために所有し使われる耐用年数が1年以上の工具ならびに器具および備品を処理する勘定科目です。具体的には、コンピューター、机、椅子、金庫、コピー機、応接セット、作業用具、容器、ボンベ、ドラム缶、店頭の棚、移動可能な看板、観賞用の絵画、骨董品、生物など。6
土地,事業のために所有・使用する土地を処理する勘定科目です。具体的には、事務所、店舗、社宅などの敷地のほか、資材置場、駐車場、運動場など。6
一括償却資産,"100,000円以上200,000円未満の減価償却資産について、一括して、3年間で償却する場合に使用する勘定科目です。6"
建設仮勘定,事業活動のために使用することを目的として、建設または製作中の固定資産を処理する勘定科目です。6
減価償却累計額,減価償却の会計処理を間接法で行った場合の減価償却費の相手勘定科目です。6
電話加入権,電話加入契約に基づいて、加入電話の通信サービスを受ける権利を処理する勘定科目です。7
工業所有権,特許権、実用新案権、意匠権などを処理する勘定科目です。7
ソフトウェア,コンピューターのソフトウェアの購入、開発に関する支出を処理する勘定科目です。ソフトウェアとは、コンピューターを機能させるように機能を組み合わせて表現したプログラム等をいいます。7
長期前払費用,前払費用のうち決算日の翌日から1年を超える費用の前払いを処理する勘定科目です。7
敷金,事務所等を借りるときに差し入れる金銭等を処理する勘定科目です。7
差入保証金,契約期間の完全履行を保証するために支払う金銭を処理する勘定科目です。具体的には、賃貸借契約に係る保証金、営業取引保証金など。7
預託金,預託先に預ける金銭を処理する勘定科目です。クラブからの退会、車両の廃棄など預託後一定の条件を満たした際に、一部または全額が無利息で返還されます。車両購入時のリサイクル法に基づくリサイクル料、ゴルフ会員権の預託金などに使用する勘定科目です。7
創立費,会社を設立するためにかかった費用のうち、会社が負担すべきものをいいます。具体的には、定款および諸規則作成のための費用、創立事務所の賃貸料、金融機関・証券会社の取扱手数料、その他会社設立事務に関する必要な費用など。8
開業費,営業開始までに支出した開業のための費用を処理する勘定科目です。具体的には、開業準備期間中の賃借料、広告、通信、交通費などです。8
支払手形,通常の営業取引で振り出した約束手形などの手形債務を処理する勘定科目です。具体的には、商品の仕入代金や買掛金の支払のために約束手形を振り出した場合など。8
買掛金,営業取引において発生した掛仕入による債務を処理する勘定科目です。8
割引手形,支払期日前に手形を割り引いたとき使用する勘定科目です。9
裏書手形,買掛金の支払いなどのために、裏書譲渡された手形のことをいいます。9
未払金,営業目的以外の代金の未払いを処理する勘定科目です。具体的には、月末締め一括支払い、固定資産購入等の代金後払いなど。9
未払費用,一定の契約に従い、継続して役務の提供を受けている場合に、すでに提供を受けた役務に対してまだ支払われていない対価の額を処理する勘定科目です。具体的には、期日未到来の支払利息など。9
前受金,得意先との通常の営業取引に基づいて発生した商品、製品などの前受け代金を処理する勘定科目です。具体的には、手付金、内金、自社発行商品券の販売など。9
預り金,従業員等から一時的に預かったお金で、後日その相手本人に直接返すか、または本人に代わって他人に支払うため一時的に預かった金銭を処理する勘定科目です。営業上または営業外の諸預り金も処理します。具体的には、給与から差し引いた所得税、住民税、社会保険料、専門家（税理士、司法書士など）に業務を委託した場合の源泉所得税など。9
仮受金,得意先から金銭を受け入れたが一時的にその取引内容が不明である場合、または取引内容が明確であっても最終的に受け取る金額が確定していない場合に一時的に計上しておく勘定科目です。10
預り保証金,契約に従って一定期間サービスや権利を提供するために受け取った金額のことです。契約期間が終了すると返金する部分をいいます。具体的には、代理店契約保証金預り金、入札保証金預り金、営業保証金預り金など。10
未払消費税等,消費税及び地方消費税の未納税額を処理する勘定科目です。10
仮受消費税等,課税売上に係る消費税額を処理する勘定科目です。税抜経理を採用する場合に使用します。10
未払法人税等,法人税、住民税および事業税の未納税額を処理する勘定科目です。具体的には、法人税、法人住民税（市町村民税、道府県民税）、法人事業税、追徴税額など。10
短期借入金,金銭消費貸借契約を結んで証書を提出して借入れたもので、返済期限が1年以内に到来する、証書借入、手形借入などを処理する勘定科目です。10
長期借入金,金銭消費貸借契約を結んで証書を提出して借り入れたもので、返済期限が決算後1年以内に到来しないものを処理する勘定科目です。具体的には、証書借入、手形借入金、借り換えなど。11
元入金,資産と負債の差額を調整する勘定科目です。元入金が純資産に該当します。11
資本金,法定資本の額を処理する勘定科目です。11
資本準備金,株主からの払込みのうち、資本金に計上しなかった場合等に処理される勘定科目です。11
利益準備金,剰余金の配当をする場合に、積み立てる場合に処理する勘定科目です。11
売上高,商品や製品の販売、サービスの提供など、会社の主たる営業活動によって獲得した収益を処理する勘定科目です。11
売上値引高,販売した商品や製品が、品違い、損傷、量目不足などの理由により代金を値引きする場合に処理する勘定科目です。11
売上戻り高,販売した商品や製品が、品違い、損傷などの理由により、返品された場合の金額のことです。11
売上割戻し高,売上割戻しとは、売上リベートともいい、一定期間に多額または多量の取引をした得意先に対して売上代金の一部を返金することをいいます。12
期首商品棚卸高,損益計算書上、売上原価を計算するために使用する勘定科目です。期首に保有していた商品を当期の売上原価に加算します。12
仕入高,当期に仕入れた商品、サービスを処理する勘定科目です。12
期末商品棚卸高,損益計算書上、売上原価を計算するために使用する勘定科目です。期末に保有していた商品を当期の売上原価から減算します。12 ------------------------------------------------------------------------------------------------------------------------------------------------------------
仕入値引高,仕入れた商品の損傷、量目不足などの理由により代金の値引きを処理する勘定科目です。12
仕入戻し高,仕入れた商品を品違い、損傷などの理由により返品した金額のことです。12
仕入割戻し高,仕入割戻しとは、仕入リベートともいい、一定期間に多量の取引をした仕入先から仕入代金の一部が返金されることをいいます。12
他勘定振替高,販売以外に商品が減少した場合に処理する勘定科目です。具体的には、見本用商品、試用品用、自家消費、盗難など。13
役員報酬,定款、株主総会等で定められた範囲内で、支給される取締役および監査役の報酬を処理する勘定科目です。役員に対して定期的に支払う給与のことです。13 --------------------------------------------------------------------------------------------------------------------------------------------
役員賞与,役員に対する賞与のことで、毎月支給される役員報酬とは区分します。13
給料手当,労働の対価として定期的に従業員に支払われるものを処理する勘定科目です。従業員に対して支払う給与、手当のことです。具体的には、基本給、諸手当、家族手当、住宅手当、時間外勤務手当、休日出勤手当、役付手当、職務手当、食事手当など。13
賞与,通常の月給・日給とは別に、臨時的に支給される賃金を処理する勘定科目です。いわゆる、ボーナスのことです。13
雑給,臨時雇用者に対する給与を処理する勘定科目です。具体的には、パート、アルバイトなどに支給する給与13
退職金,従業員や役員の退職により一時に支払われた慰労金や退職年金をいいます。14
法定福利費,法律で義務付けられている会社（事業主）負担分の社会保険料を処理する勘定科目です。具体的には、会社（事業主）負担健康保険料、会社（事業主）負担厚生年金、会社（事業主）負担厚生年金基金、児童手当拠出金、会社（事業主）負担雇用保険料、労災保険など。14
専従者給与,青色事業専従者に支払った給与を処理する勘定科目です。14
福利厚生費,従業員の医療・保険、厚生施設、慶弔・禍福、慰安などのために要した費用を処理する勘定科目です。具体的には、健康診断等の医療費、社宅などの厚生費、慶弔費（お祝い金、香典など）、親睦費、制服代などです。14
採用教育費,従業員の採用、教育訓練、資格取得のための費用を処理する勘定科目です。具体的には、研修会への参加、教育用機器の購入、各種技能取得費用など。14
外注費,会社業務の一部を外部へ委託するための費用を処理する勘定科目です。具体的には、会社の計算事務の委託や、デザイン設計、マーケティング調査などの委託費用など。15 --------------------------------------------------------------------------------------------------------------------------------------------
荷造運賃,商品、製品を客先まで届けるための諸費用を処理する勘定科目です。具体的には、梱包費、包装材料費、運賃、配送、配達のための経費（倉庫荷役料）、小包代、宅配便、発送運賃など。15
販売手数料,商品や製品の販売またはサービスの提供に対して支払う手数料や仲介手数料などを処理する勘定科目です。15
販売促進費,売上を増加、促進するために支出する費用で、販売奨励金、販売増進のための直接宣伝費・交際費などをいいます。15
広告宣伝費,不特定多数の者に対して、商品や製品の広告などのために支出する費用を処理する勘定科目です。具体的には、雑誌掲載料、折込チラシ、看板、カタログ、パンフレット、社名入り手帳、タオル、カレンダー、会社案内など。15
水道光熱費,電気、ガス、水道料金などを処理する勘定科目です。具体的には、ガス料金、プロパンガス、水道料、電気代、灯油代、石油、重油、石炭など。15
支払手数料,事務委託手数料や業務委託手数料などを処理する勘定科目です。具体的には、書類作成手数料、代理店手数料、斡旋手数料、紹介料、カード手数料、各種役所手数料、各種銀行手数料など。16 --------------------------------------------------------------------------------------------------------------------------------------------
賃借料,設備や資産を賃借する場合の対価を処理する勘定科目です。具体的には、支払家賃、月極め駐車場代、展示場の会場使用料および備品使用料など。16
リース料,リース契約に基づく対価を支払う場合に使用する勘定科目です。（オペレーティング・リースや、所有権移転外ファイナンス・リースであって、資産計上しない場合に処理します。）16
消耗品費,短期間に消耗する少額の物品を購入したときに処理する勘定科目です。消耗品は繰り返し交換して使うものです。具体的には、常備品（電池、電球など）、固定資産にならない備品（事務用机、椅子など）、合鍵など。16
事務用品費,日常使われる事務用品一般を処理する勘定科目です。具体的には、事務用品（ノート、ボールペンなど）、OA用品（コピー用紙など）、封筒、社保用紙、小切手帳、出勤簿、納品書、領収書、名刺など。17
寄付金,会社の事業の遂行に直接関係しない金品などの贈与で、相手方に対して何ら反対給付を求めない場合に処理する勘定科目です。具体的には、国、地方公共団体に対する寄付金、神社、寺院、教会への祭礼寄付など。17
交際費,得意先、仕入先その他事業に関連ある者に対する接待、供応、慰安、贈答その他これらに類する支出を処理する勘定科目です。具体的には、お土産、接待、贈答品、商品券、謝礼、お車代、取引先との親睦旅行・ゴルフ、慶弔費（お祝い金、香典）、開店祝金、ご祝儀など。17
会議費,会社の業務に関連して、社内又は社外で行われる商談、打ち合わせなどに対する支払いを処理する勘定科目です。具体的には、会議室利用料、会議中の弁当代、昼食代、夜食代、喫茶代、茶菓子代など。17
諸会費,同業者団体や地域団体の会費を処理する勘定科目です。具体的には、協会や業界の会費、法人会会費、社会保険協会費、商工会議所会費、安全衛生協会費、組合費、自治会費など。18
新聞図書費,業務上必要な書籍、雑誌、新聞などの支出を処理する勘定科目です。具体的には、雑誌購読料、書籍購入費、新聞購読料、業者名簿、年間購読料、地図など。18
通信費,通信のために要した費用を処理する勘定科目です。具体的には、電話料金、携帯電話、国際電話料、郵便関連費用（切手代、ハガキ代、電報料金など）、インターネット利用料など。18
車両費,車にかかる諸経費全般を処理する勘定科目です。具体的には、ガソリン代、軽油、オイル交換、一時的な駐車料、高速料、修理代、車検費用、タイヤ交換、部品交換、バッテリー代など。18
旅費交通費,業務を遂行するための旅費と交通費を処理する勘定科目です。具体的には、各種公共交通機関の乗車賃、タクシー代、宿泊料、出張手当、高速道路代、ガソリン代などが該当します。18
支払報酬料,社外の専門家に業務を委託した費用を処理する勘定科目です。具体的には、弁護士、税理士などに対する報酬。その他講演料、原稿料、校正料、イラスト料、デザイン料、作曲料など。18 --------------------------------------------------------------------------------------------------------------------------------------------
修繕費,資産の維持補修に要する費用を処理する勘定科目です。具体的には、建物の修理、事務所修理、水道補修、事務器の修理、AV機器補修、プログラム修理、給排水設備費用、定期点検、車修理、部品交換など。19
租税公課,国または地方公共団体が課する租税を処理する勘定科目です。具体的には、印紙税、登録免許税、不動産取得税、自動車税、自動車取得税、固定資産税、事業所税、加算税、延滞税など。19
保険料,保険契約に基づく支払いを処理する勘定科目です。具体的には、火災保険、運送保険、自動車保険、役員生命保険、団体定期保険、郵便保険、盗難保険など。19
減価償却費,有形・無形の固定資産のうち、時の経過により経済的な価値が減少する額を各期ごとに見積もって費用として処理する勘定科目です。19 ------------------------------------------------------------------------------------------------------------------------------------------------------------
繰延資産償却,支出の効果が将来におよぶ費用（繰延資産）をその効果のおよぶ期間に配分して費用処理する勘定科目です。20 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
貸倒損失,債務者の倒産等により債権の回収が困難または不可能となった場合に生じる損失を処理する勘定科目です。売掛金、受取手形などの債権が回収不能になった場合に使用します。20 --------------------------------------------------------------------------------------------------------------------------------------------
貸倒引当金繰入額,決算期末の売上債権（売掛金、受取手形など)について、次期以降に発生する貸倒（回収不能）見込額を見積もって計上する勘定科目です。20 --------------------------------------------------------------------------------------------------------------------------------------------
雑費,金額的にも小さく、どの勘定科目にも属さない上、独立した勘定科目を設けるほどでもない費用を処理する勘定科目です。具体的には、ソフトバージョンアップ代、ゴミ捨て代、汲取料、清掃代など。20 --------------------------------------------------------------------------------------------------------------------------------------------
受取利息,預貯金、貸付金、公社債などにより発生した収益を処理する勘定科目です。具体的には、預貯金（定期預金、普通預金）の利息、取引先や社員への貸付金利息、公社債（国債、社債）の利息など。20 --------------------------------------------------------------------------------------------------------------------------------------------
仕入割引,買掛金を早期に支払った場合の代金の割引額をいいます。20
雑収入,主たる営業活動以外の原因から生じる営業外収益のうち、金額的にも小さく、独立した勘定科目で計上するほどの必要性のない収益を処理する勘定科目です。具体的には、作業くず売却益、キャンセル料、ご祝儀受取り、消費税の精算差額、現金過不足、各種税金の還付加算金など。21 ----------------------------------------------------------------------------------------------------------------------------
貸倒引当金戻入額,前期に計上した貸倒引当金を戻し入れる処理をする勘定科目です。21
固定資産売却益,帳簿価額を上回る価格で固定資産を売却した際に生じる差益です。具体的には、車両売却益、建物売却益、備品売却益、土地売却益、機械売却益など。21 --------------------------------------------------------------------------------------------------------------------------------------------
家事消費等,商品を自宅で消費したときに処理する勘定科目です。21
手形売却損,手形割引を実施した際に差し引かれる手形の満期日までの利息相当額を処理する勘定科目です。21 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
支払利息,借入金に対して支払われる利息を処理する勘定科目です。具体的には、金融機関からの借入金利息、他の会社からの借入金利息、社債利息など。21 --------------------------------------------------------------------------------------------------------------------------------------------
売上割引,売掛金が支払い期日前に決済されたことにより売上代金の割引を行う際に処理する勘定科目です。21 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
雑損失,主たる営業活動以外の原因から生じる営業外費用のうち、金額的にも小さく、独立した勘定科目で計上するほどの必要性のない費用を処理する勘定科目です。具体的には、盗難による損失、現金過不足、損害賠償金など。22 ----------------------------------------------------------------------------------------------------------------------------
固定資産売却損,帳簿価額を下回る価格で固定資産を売却した際に生じる差損。具体的には、車両売却損、建物売却損、備品売却損、土地売却損、機械売却損など。22 --------------------------------------------------------------------------------------------------------------------------------------------
固定資産除却損,機械などの固定資産について、その使用の中止やスクラップしたことなどにより除却した場合の損失をいいます。22 ------------------------------------------------------------------------------------------------------------------------------------------------------------
法人税等,法人税、住民税及び事業税を処理する勘定科目です。具体的には、法人税、法人住民税（市町村民税、道府県民税）、法人事業税、追徴税額など。22 --------------------------------------------------------------------------------------------------------------------------------------------
事業主貸,個人支出と区別するため、および他の所得と区別するために使う勘定科目です。22
事業主借,個人支出と区別するため、および他の所得と区別するために使う勘定科目です。22
